City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Tessalit,ML,2021-09-19 04:09:22,20.1986,1.0114,86.83,14,0,10.89
122,Sao Filipe,CV,2021-09-19 04:09:22,14.8961,-24.4956,78.57,84,88,4.74
123,Guadalupe Victoria,MX,2021-09-19 04:09:23,32.2869,-115.105,92.57,33,11,1.86
124,Torbay,CA,2021-09-19 04:05:31,47.6666,-52.7314,60.58,82,60,5.01
125,San Cristobal,VE,2021-09-19 04:06:32,7.7669,-72.225,65.77,98,90,2.64
126,Santa Maria,BR,2021-09-19 04:09:24,-29.6842,-53.8069,61.12,98,19,6.11
127,Black River,JM,2021-09-19 04:09:24,18.0264,-77.8487,79.99,86,27,3.4
128,Hamilton,US,2021-09-19 04:05:40,39.1834,-84.5333,75.36,86,1,0.0
129,Charqueada,BR,2021-09-19 04:09:25,-22.5097,-47.7781,70.57,70,9,3.04
130,Cusuna,HN,2021-09-19 04:09:26,15.85,-85.2333,77.31,89,100,6.42
131,Murgab,TM,2021-09-19 04:09:26,37.4966,61.9714,77.72,20,0,10.45
132,Port Blair,IN,2021-09-19 04:09:27,11.6667,92.75,84.65,70,69,6.22
133,Kavaratti,IN,2021-09-19 04:09:27,10.5669,72.642,81.81,77,92,9.01
134,Filingue,NE,2021-09-19 04:09:28,14.3521,3.3168,82.0,67,100,14.58
135,Saint-Philippe,RE,2021-09-19 04:09:28,-21.3585,55.7679,72.95,67,88,16.51
136,High Level,CA,2021-09-19 04:09:29,58.5169,-117.136,45.73,85,100,3.89
137,Sorland,NO,2021-09-19 04:09:29,67.667,12.6934,51.75,76,100,15.75
138,Penarroya-Pueblonuevo,ES,2021-09-19 04:08:40,38.3,-5.2667,57.45,42,2,4.03
139,Sinnamary,GF,2021-09-19 04:09:30,5.3833,-52.95,77.95,88,68,6.73
140,New Norfolk,AU,2021-09-19 04:09:31,-42.7826,147.0587,62.92,64,82,8.99
141,Athabasca,CA,2021-09-19 04:09:31,54.7169,-113.2854,47.57,68,100,5.79
142,Madridejos,ES,2021-09-19 04:09:32,39.4682,-3.532,60.31,40,0,5.37
143,Bereda,ES,2021-09-19 04:09:32,43.2686,-7.5406,53.01,100,88,1.21
