City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Puerto Quijarro,BO,2021-09-24 20:06:35,-17.7833,-57.7667,105.4,16,10,4.38,clear sky
176,Lourdes,FR,2021-09-24 20:06:35,43.1,-0.05,65.95,94,0,0.0,clear sky
177,Tuktoyaktuk,CA,2021-09-24 20:06:36,69.4541,-133.0374,34.74,82,100,22.57,overcast clouds
178,Victoria,HK,2021-09-24 20:06:36,22.2855,114.1577,84.38,83,14,1.01,few clouds
179,Hasaki,JP,2021-09-24 20:06:36,35.7333,140.8333,70.29,74,100,16.78,overcast clouds
180,Padang,ID,2021-09-24 20:06:37,-0.9492,100.3543,75.96,92,96,3.65,moderate rain
181,Fare,PF,2021-09-24 20:06:38,-16.7,-151.0167,76.53,63,0,4.12,clear sky
182,Arraial Do Cabo,BR,2021-09-24 20:06:38,-22.9661,-42.0278,71.46,60,0,24.16,clear sky
183,Ust-Omchug,RU,2021-09-24 20:02:32,61.15,149.6333,35.69,71,7,4.79,clear sky
184,Port Lincoln,AU,2021-09-24 20:06:39,-34.7333,135.8667,52.63,71,100,10.04,overcast clouds
185,Geraldton,AU,2021-09-24 20:06:40,-28.7667,114.6,48.61,81,7,3.44,clear sky
186,Khandbari,NP,2021-09-24 20:06:40,27.3747,87.2039,70.0,92,81,1.59,broken clouds
187,Katrineholm,SE,2021-09-24 20:06:41,58.9959,16.2072,60.73,89,100,10.27,overcast clouds
188,Lasa,IT,2021-09-24 20:06:41,46.6166,10.7002,56.62,67,0,1.45,clear sky
189,Xingtai,CN,2021-09-24 20:06:42,37.0631,114.4942,63.79,98,100,12.82,light rain
190,Boat Of Garten,GB,2021-09-24 20:06:42,57.2491,-3.759,54.68,90,100,4.99,overcast clouds
191,Saldanha,ZA,2021-09-24 20:06:43,-33.0117,17.9442,57.27,87,83,5.37,broken clouds
192,Karratha,AU,2021-09-24 20:06:43,-20.7377,116.8463,70.88,43,7,10.18,light rain
193,Coquimbo,CL,2021-09-24 20:01:47,-29.9533,-71.3436,58.66,78,86,6.22,overcast clouds
194,Wellington,NZ,2021-09-24 20:02:43,-41.2866,174.7756,57.06,83,75,3.0,broken clouds
195,Kuching,MY,2021-09-24 20:06:44,1.55,110.3333,79.02,89,20,0.0,few clouds
196,Darovskoy,RU,2021-09-24 20:06:45,58.77,47.9564,45.75,98,100,8.23,moderate rain
197,Kebumen,ID,2021-09-24 20:06:45,-7.6687,109.6519,74.8,91,93,3.56,overcast clouds
198,Baihar,IN,2021-09-24 20:06:46,22.1,80.55,71.62,97,24,2.15,few clouds
199,Carutapera,BR,2021-09-24 20:06:46,-1.195,-46.02,83.61,67,91,9.42,overcast clouds
200,Vao,NC,2021-09-24 20:06:47,-22.6667,167.4833,68.32,65,100,12.1,overcast clouds
201,Kruisfontein,ZA,2021-09-24 20:06:47,-34.0033,24.7314,51.89,91,48,2.59,scattered clouds
202,Araouane,ML,2021-09-24 20:06:48,18.9048,-3.5265,98.35,21,7,4.16,clear sky
203,Udachnyy,RU,2021-09-24 20:06:48,66.4167,112.4,36.88,85,100,0.29,overcast clouds
204,Lentekhi,GE,2021-09-24 20:06:49,42.7856,42.7261,48.02,95,89,1.28,overcast clouds
205,Shimanovsk,RU,2021-09-24 20:06:49,52.0,127.7,49.17,90,100,5.55,overcast clouds
206,Port Hedland,AU,2021-09-24 20:06:50,-20.3167,118.5667,60.85,100,75,3.44,broken clouds
207,Tomatlan,MX,2021-09-24 20:06:51,19.9333,-105.25,88.32,69,100,7.67,overcast clouds
208,La Ronge,CA,2021-09-24 20:06:51,55.1001,-105.2842,55.35,51,43,9.17,scattered clouds
209,Boguchany,RU,2021-09-24 20:06:52,58.3814,97.4531,32.05,95,76,3.0,broken clouds
210,Surt,LY,2021-09-24 20:06:52,31.2089,16.5887,76.87,66,0,11.63,clear sky
211,Pemangkat,ID,2021-09-24 20:06:53,1.1667,108.9667,77.04,89,23,5.14,few clouds
212,Yaypan,UZ,2021-09-24 20:06:53,40.3758,70.8156,69.37,19,0,2.68,clear sky
213,Xining,CN,2021-09-24 20:06:53,36.6167,101.7667,55.09,83,100,1.21,overcast clouds
214,Galveston,US,2021-09-24 20:06:54,29.3669,-94.9669,86.13,48,1,1.01,clear sky
215,Starotimoshkino,RU,2021-09-24 20:06:55,53.7191,47.5312,46.24,91,100,8.1,light rain
216,Bakonyszentlaszlo,HU,2021-09-24 20:06:55,47.389,17.8032,63.21,75,12,8.14,few clouds
217,Atchison,US,2021-09-24 20:06:56,39.563,-95.1216,78.87,53,100,16.26,overcast clouds
218,Odesskoye,RU,2021-09-24 20:06:56,54.2111,72.9651,40.21,71,17,8.72,few clouds
219,Natal,BR,2021-09-24 20:04:17,-5.795,-35.2094,81.25,74,40,12.66,scattered clouds
220,Junction City,US,2021-09-24 20:06:57,39.0286,-96.8314,78.71,43,1,10.36,clear sky
221,Airai,TL,2021-09-24 20:06:58,-8.9266,125.4092,56.84,83,34,1.77,scattered clouds
222,Gamba,GA,2021-09-24 20:06:58,-2.65,10.0,75.96,86,89,6.98,overcast clouds
223,Kalakamati,BW,2021-09-24 20:06:59,-20.5929,27.3121,67.03,17,0,11.63,clear sky
224,Nanma,CN,2021-09-24 20:06:59,36.1817,118.1583,65.48,92,100,13.44,moderate rain
225,Vermilion,US,2021-09-24 20:07:00,40.1667,-87.7506,81.19,36,1,5.99,clear sky
226,Luganville,VU,2021-09-24 20:07:00,-15.5333,167.1667,77.29,85,92,9.33,overcast clouds
227,Grand Gaube,MU,2021-09-24 20:07:01,-20.0064,57.6608,71.38,75,0,5.01,clear sky
228,Saint-Philippe,RE,2021-09-24 20:07:01,-21.3585,55.7679,71.19,82,45,12.55,scattered clouds
229,Shahdadkot,PK,2021-09-24 20:07:02,27.8477,67.9055,88.03,47,2,4.38,clear sky
230,Kodiak,US,2021-09-24 20:07:02,57.79,-152.4072,49.51,29,1,6.91,volcanic ash
231,Santa Cruz,BO,2021-09-24 20:07:03,-17.8,-63.1667,95.79,19,0,4.63,clear sky
232,Shenjiamen,CN,2021-09-24 20:07:03,29.9576,122.298,74.28,67,1,8.48,clear sky
233,Yining,CN,2021-09-24 20:07:04,29.0361,114.5636,75.61,87,4,1.12,clear sky
234,General Roca,AR,2021-09-24 20:07:05,-39.0333,-67.5833,88.2,14,0,26.98,clear sky
235,La Paz,BO,2021-09-24 20:03:19,-16.5,-68.15,51.4,65,93,13.62,overcast clouds
236,Juan Lacaze,UY,2021-09-24 20:07:05,-34.4342,-57.4381,63.12,77,15,14.54,few clouds
237,Faya,SA,2021-09-24 20:07:06,18.3851,42.4509,69.62,54,67,2.89,broken clouds
238,Doha,QA,2021-09-24 20:07:06,25.2867,51.5333,87.78,51,0,3.44,clear sky
239,Lidzbark Warminski,PL,2021-09-24 20:07:07,54.1259,20.5795,52.74,80,99,12.53,overcast clouds
240,Meulaboh,ID,2021-09-24 20:07:07,4.1363,96.1285,76.48,91,97,4.99,heavy intensity rain
241,Krasnoarmeysk,RU,2021-09-24 20:07:08,51.0239,45.6969,48.07,89,51,5.28,broken clouds
242,Vestmannaeyjar,IS,2021-09-24 20:07:08,63.4427,-20.2734,42.94,85,100,20.98,overcast clouds
243,Lake City,US,2021-09-24 20:07:09,30.1897,-82.6393,85.93,37,0,3.11,clear sky
244,Lakes Entrance,AU,2021-09-24 20:07:09,-37.8811,147.981,46.17,82,51,15.48,broken clouds
245,Jining,CN,2021-09-24 20:06:33,35.405,116.5814,69.01,1,100,21.25,light rain
246,Apt,FR,2021-09-24 20:07:10,43.8833,5.4,65.84,60,86,1.48,overcast clouds
247,Khanu Woralaksaburi,TH,2021-09-24 20:07:10,16.0617,99.8606,75.58,95,100,1.59,light rain
248,Jalu,LY,2021-09-24 20:07:11,29.0331,21.5482,75.27,50,0,15.28,clear sky
249,Kalmunai,LK,2021-09-24 20:07:12,7.4167,81.8167,78.8,86,82,6.69,broken clouds
250,Sao Joao Da Barra,BR,2021-09-24 20:07:12,-21.6403,-41.0511,73.49,65,100,17.96,overcast clouds
251,Coswig,DE,2021-09-24 20:07:13,51.1333,13.5833,63.32,82,90,5.75,overcast clouds
252,East London,ZA,2021-09-24 20:07:13,-33.0153,27.9116,62.85,73,14,4.68,few clouds
253,Tura,IN,2021-09-24 20:07:14,25.5198,90.2201,74.97,91,9,3.31,clear sky
254,Dalbandin,PK,2021-09-24 20:07:14,28.8947,64.4101,80.71,9,3,1.9,clear sky
255,San Diego De Los Banos,CU,2021-09-24 20:07:15,22.6467,-83.3697,85.78,67,47,3.18,light rain
256,Kavieng,PG,2021-09-24 20:07:15,-2.5744,150.7967,82.13,75,22,13.98,few clouds
257,Guarapari,BR,2021-09-24 20:07:16,-20.6667,-40.4975,75.9,66,72,13.44,broken clouds
258,Belyy Yar,RU,2021-09-24 20:07:16,53.6039,91.3903,33.69,86,0,2.24,clear sky
259,Husavik,IS,2021-09-24 20:07:17,66.0449,-17.3389,36.9,74,96,6.71,overcast clouds
260,Kaura Namoda,NG,2021-09-24 20:07:18,12.5898,6.5779,83.1,49,53,4.79,broken clouds
261,Badarwas,IN,2021-09-24 20:07:18,24.9667,77.5667,75.6,90,86,4.09,overcast clouds
