City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Surt,LY,76.87,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
211,Pemangkat,ID,77.04,few clouds,1.1667,108.9667,Ramah Kost KITA
214,Galveston,US,86.13,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
217,Atchison,US,78.87,overcast clouds,39.563,-95.1216,"Quality Inn, Atchison"
219,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
220,Junction City,US,78.71,clear sky,39.0286,-96.8314,Comfort Inn & Suites Junction City - Near Fort Riley
225,Vermilion,US,81.19,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
226,Luganville,VU,77.29,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
233,Yining,CN,75.61,clear sky,29.0361,114.5636,Xiushui Hotel
238,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
240,Meulaboh,ID,76.48,heavy intensity rain,4.1363,96.1285,Kost Pria
243,Lake City,US,85.93,clear sky,30.1897,-82.6393,Ramada Limited Lake City
